project,language,files,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
lynx-2.8.9,c,214,132804,912,preprocessor,Extended boolean,0.7409470752089137,0.3261367076130307,0.4529167128472084,11496.799811840057
lynx-2.8.9,c,214,132804,912,preprocessor,Classic vector model,0.5424311926605505,0.0923273977873395,0.1577962433299058,8658.56028008461
openldap-2.4.45,c,668,285946,951,preprocessor,trace2vary,0.8733719247467439,0.701151425355477,0.7778429832264856,0.23713397979736328
openldap-2.4.45,c,668,285946,951,preprocessor,BM25,0.9776444929116684,0.09796350572616155,0.17808250217698615,44958.49232888222
openldap-2.4.45,c,668,285946,951,preprocessor,Extended boolean,0.6983471074380165,0.4178678194311589,0.522868447584169,71812.40983891487
openldap-2.4.45,c,668,285946,951,preprocessor,Classic vector model,0.42039258451472195,0.07246784175594649,0.12362503323914886,45049.501292943954
openldap-2.4.45,c,668,285946,951,preprocessor,Neural networks,0.5739371534195934,0.2835017653616587,0.37953069924182126,71849.15457201004
parrot-4.6.2,c,241,101507,413,preprocessor,trace2vary,0.941747572815534,0.859546925566343,0.8987716684865462,0.01879405975341797
parrot-4.6.2,c,241,101507,413,preprocessor,BM25,0.9603825136612022,0.1277590644907986,0.22551766049975783,5126.825192928314
parrot-4.6.2,c,241,101507,413,preprocessor,Extended boolean,0.737037037037037,0.46437397992953566,0.5697647473027697,11287.881217956543
parrot-4.6.2,c,241,101507,413,preprocessor,Classic vector model,0.4501466275659824,0.1284885370345553,0.19991416065050588,5132.000488996506
parrot-4.6.2,c,241,101507,413,preprocessor,Neural networks,0.6541850220264317,0.29076689064247213,0.40259264457651006,11148.852979898453
sendmail-8.15.2,c,245,93613,961,preprocessor,trace2vary,0.7962707182320442,0.7011510128913445,0.7456897532871605,0.10501623153686523
sendmail-8.15.2,c,245,93613,961,preprocessor,BM25,0.997828447339848,0.1883641923311028,0.31690493311492385,6369.699273109436
sendmail-8.15.2,c,245,93613,961,preprocessor,Neural networks,0.6819148936170213,0.27173140240495197,0.3886088398525218,9139.405678033829
sendmail-8.15.2,c,245,93613,961,preprocessor,Classic vector model,0.6039603960396039,0.1689857968546604,0.26408236364098425,6387.347617864609
sendmail-8.15.2,c,245,93613,961,preprocessor,Extended boolean,0.8550469483568075,0.43259508488381726,0.5745216413495876,9156.827053070068
gnumeric-1.8.4,c,539,248311,506,preprocessor,trace2vary,0.9393939393939394,0.8481503345139711,0.8914434126943623,0.12737417221069336
gnumeric-1.8.4,c,539,248311,506,preprocessor,Neural networks,0.636986301369863,0.4125423203545496,0.5007653938382788,27854.388098955154
gnumeric-1.8.4,c,539,248311,506,preprocessor,Classic vector model,0.4397463002114165,0.20384753800462665,0.27856450861373755,18973.817081928253
gnumeric-1.8.4,c,539,248311,506,preprocessor,Extended boolean,0.8970588235294118,0.6634550702565407,0.7627720934224381,27834.554446935654
gnumeric-1.8.4,c,539,248311,506,preprocessor,BM25,0.9722222222222222,0.06772682810674077,0.1266322178094577,18813.61187005043
openvpn-2.4.3,c,206,79189,466,preprocessor,trace2vary,0.6942148760330579,0.6182605273514364,0.6540399221876665,0.045239925384521484
openvpn-2.4.3,c,206,79189,466,preprocessor,Extended boolean,0.5104895104895105,0.27311350265895723,0.3558474787386525,4159.605982065201
openvpn-2.4.3,c,206,79189,466,preprocessor,Classic vector model,0.43400447427293065,0.03159058654628498,0.05889433569965433,2961.839851140976
openvpn-2.4.3,c,206,79189,466,preprocessor,Neural networks,0.49544072948328266,0.15245524907166766,0.23316255174816278,4151.543552875519
openvpn-2.4.3,c,206,79189,466,preprocessor,BM25,0.9397321428571429,0.11303170553784155,0.20179174468768638,2958.706792116165

