project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
sylpheed-3.5.1,c,119488,296,preprocessor,SVM,0.8322147651006712,0.3460473305392457,0.4888313032628398,372.5161509513855
sylpheed-3.5.1,c,119488,296,preprocessor,SGD,0.9487179487179487,0.8482905982905984,0.8956980395743773,0.03314495086669922
subversion-1.9.5,c,156778,280,preprocessor,SVM,0.91701244813278,0.12133458660416255,0.21431240728346695,860.9512979984283
subversion-1.9.5,c,156778,280,preprocessor,SGD,0.9042553191489362,0.66237968591692,0.7646456926467033,0.08752202987670898
vim-7.4,c,304992,1050,preprocessor,SVM,0.6973180076628352,0.2572278165663036,0.3758218495342103,692.5896739959717
vim-7.4,c,304992,1050,preprocessor,SGD,0.8026070763500932,0.746368715083799,0.773466978122427,0.07451987266540527
irssi-1.0.3,c,55138,159,preprocessor,SVM,0.7708333333333334,0.2895692069605113,0.4209903099066661,189.92783617973328
irssi-1.0.3,c,55138,159,preprocessor,SGD,0.9583333333333334,0.8958333333333334,0.9260299625468166,0.02135181427001953
libxml2-2.9.3,c,242524,2171,preprocessor,SVM,0.9103182664635178,0.5092028555779221,0.6530887826471314,1290.5002608299255
libxml2-2.9.3,c,242524,2171,preprocessor,SGD,0.8050847457627118,0.6754943502824858,0.7346182297372134,0.14142680168151855
lynx-2.8.9,c,132804,912,preprocessor,SVM,0.7605743112145906,0.23195273246043197,0.35549114928338127,727.2591919898987
lynx-2.8.9,c,132804,912,preprocessor,SGD,0.8286852589641435,0.8017928286852589,0.8150172675212406,0.07442307472229004
openldap-2.4.45,c,285946,951,preprocessor,SVM,0.8612021857923498,0.1617144085782867,0.2722974735343397,2375.662796020508
openldap-2.4.45,c,285946,951,preprocessor,SGD,0.8820224719101124,0.7161602843384541,0.7904846448960288,0.26029181480407715
parrot-4.6.2,c,101507,413,preprocessor,SVM,0.7580645161290323,0.38491415922144084,0.5105777949390752,197.53966999053955
parrot-4.6.2,c,101507,413,preprocessor,SGD,0.9333333333333333,0.8592592592592592,0.8947658402203856,0.01893901824951172
sendmail-8.15.2,c,93613,961,preprocessor,SVM,0.7369303201506591,0.29476616925433485,0.42109695963675897,878.117418050766
sendmail-8.15.2,c,93613,961,preprocessor,SGD,0.8150584795321637,0.7448830409356726,0.7783923061324038,0.09505891799926758
sqlite-3.19.3,c,267156,571,preprocessor,SVM,0.575107296137339,0.28451018461748084,0.3806899851669335,23.411036014556885
sqlite-3.19.3,c,267156,571,preprocessor,SGD,0,0,0,0.0026268959045410156
