projectandfeature,methodname,totaltraces,truetraces,precision,recall
dragonflybsd-_tandem_source,BM25,7,6,0.8571428571428571,1.0
dragonflybsd-compat_32bit,BM25,127,2,0.015748031496062992,1.0
dragonflybsd-backwards,BM25,33,3,0.030303030303030304,0.3333333333333333
dragonflybsd-ndebug,BM25,2,2,0.0,0.0
dragonflybsd-libusb_global_include_file,BM25,734,13,0.017711171662125342,1.0
dragonflybsd-notyet,BM25,1,7,0.0,0.0
dragonflybsd-__dragonfly__,BM25,603,2,0.0,0.0
dragonflybsd-sprintf_char,BM25,98,4,0.04081632653061224,1.0
dragonflybsd-_sys_ioctl_h_,BM25,700,2,0.002857142857142857,1.0
dragonflybsd-yyparse_param,BM25,405,2,0.0049382716049382715,1.0
dragonflybsd-ni_withscopeid,BM25,3,3,1.0,1.0
dragonflybsd-res_use_edns0,BM25,7,5,0.7142857142857143,1.0
dragonflybsd-_libc,Classic vector model,896,21,0.010044642857142858,0.42857142857142855
dragonflybsd-no_fw_punch,Classic vector model,1698,7,0.0005889281507656066,0.14285714285714285
dragonflybsd-netidlen,Classic vector model,2,2,1.0,1.0
dragonflybsd-ns_caching,Classic vector model,1749,12,0.0017152658662092624,0.25
dragonflybsd-with_ssl,Classic vector model,1678,4,0.0011918951132300357,0.5
dragonflybsd-have_stropts_h,Classic vector model,337,2,0.002967359050445104,0.5
dragonflybsd-hesiod,Classic vector model,8,3,0.375,1.0
dragonflybsd-_pthreads_debugging,Classic vector model,42,5,0.0,0.0
dragonflybsd-shell,Classic vector model,70,3,0.02857142857142857,0.6666666666666666
dragonflybsd-nomd5,Classic vector model,1,5,1.0,0.2
dragonflybsd-portmap,Classic vector model,9,6,0.6666666666666666,1.0
dragonflybsd-debug_signal,Classic vector model,294,2,0.0,0.0
dragonflybsd-inet6,Classic vector model,44,14,0.29545454545454547,0.9285714285714286
dragonflybsd-_posix_pthread_semantics,Classic vector model,366,6,0.00546448087431694,0.3333333333333333
dragonflybsd-notdef,Classic vector model,1,9,1.0,0.1111111111111111
dragonflybsd-lint,Classic vector model,69,25,0.34782608695652173,0.96
dragonflybsd-sysv_sems,Classic vector model,35,3,0.05714285714285714,0.6666666666666666
dragonflybsd-_sys_fcntl_h_,Classic vector model,961,3,0.001040582726326743,0.3333333333333333
dragonflybsd-test,Classic vector model,120,4,0.03333333333333333,1.0
dragonflybsd-encryption,Classic vector model,30,8,0.26666666666666666,1.0
